,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
949,2,3,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
950,2,3,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
951,2,3,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2
952,2,3,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2
953,2,3,8,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2
954,2,3,8,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
955,2,3,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
956,2,3,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2
957,2,3,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2
958,2,3,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2
959,2,3,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
960,2,3,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
961,2,3,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2
962,2,3,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
963,2,3,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
964,2,3,3,8,6,16,28,18,18,16,19,21,20,32,12,10,13,207,2
965,2,3,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2
966,2,3,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
967,2,3,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
968,2,3,3,9,6,6,8,6,5,5,5,6,6,3,3,7,3,57,2
969,2,3,2,6,8,1,0,2,0,2,0,1,1,1,1,1,2,11,2
970,2,3,2,6,9,0,0,0,0,0,0,1,1,0,0,0,1,3,2
971,2,3,2,6,10,1,0,0,1,0,1,3,0,0,0,0,0,5,2
972,2,3,2,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2
973,2,3,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
974,2,3,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2
975,2,3,2,7,10,0,1,1,3,2,4,4,0,1,5,2,1,24,2
976,2,3,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
