VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,cluster
1,3,1,1,1,1,1,6,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,3,1,1,19,39,0
5,3,1,1,1,1,1,3,1,1,19,39,0
1,3,1,1,1,1,1,6,2,2,19,39,0
2,3,1,1,1,1,1,5,1,1,19,39,0
3,2,1,1,1,1,1,3,1,1,19,39,0
4,2,1,1,1,1,1,1,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
1,3,1,1,1,1,1,5,1,1,19,39,0
3,3,1,1,1,1,2,7,1,1,19,39,0
4,3,1,1,1,1,2,1,1,1,19,39,0
5,3,1,1,1,1,2,2,1,1,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
5,3,1,1,1,1,1,7,1,1,19,39,0
2,2,1,1,1,1,1,4,1,1,19,39,0
3,2,1,1,1,1,1,1,1,1,19,39,0
4,2,1,1,1,1,1,3,1,1,19,39,0
5,3,1,1,1,1,1,1,1,1,19,39,0
1,3,1,1,1,1,1,3,1,1,19,39,0
2,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,3,1,1,19,39,0
5,3,1,1,1,1,1,5,2,2,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
1,2,1,1,1,1,1,3,1,1,19,39,0
2,3,1,1,1,1,1,2,1,1,19,39,0
3,2,1,1,1,1,1,3,1,1,19,39,0
5,2,1,1,1,1,1,7,2,2,19,39,0
1,2,1,1,1,1,2,1,1,1,19,39,0
2,2,1,1,1,2,2,3,1,1,19,39,0
3,2,1,1,1,1,2,2,1,1,19,39,0
4,2,1,1,1,1,1,2,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
1,2,1,1,1,1,1,3,1,1,19,39,0
2,3,1,1,1,1,1,5,1,1,19,39,0
3,3,1,1,1,1,1,3,1,1,19,39,0
1,2,1,1,1,2,2,2,1,1,19,39,0
2,1,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,3,1,1,19,39,0
4,3,1,1,1,1,1,3,1,1,19,39,0
5,2,1,1,1,1,1,2,1,1,19,39,0
1,3,1,1,1,1,1,7,2,2,19,39,0
3,3,1,1,1,1,1,3,1,1,19,39,0
4,3,1,1,1,1,1,7,1,1,19,39,0
5,3,1,1,1,1,1,6,2,2,19,39,0
1,2,1,1,1,1,2,1,1,1,19,39,0
2,3,1,1,1,1,2,2,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,2,1,1,1,19,39,0
5,3,1,1,1,1,2,1,1,1,19,39,0
2,2,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,4,1,1,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
5,3,1,1,1,1,1,2,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
2,3,1,1,1,1,1,3,1,1,19,39,0
3,3,1,1,1,1,1,5,1,1,19,39,0
4,3,1,1,1,1,1,5,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,3,1,1,19,39,0
3,3,1,1,1,1,1,4,2,2,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
1,3,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
5,3,1,1,1,1,1,1,1,1,19,39,0
1,3,1,1,1,1,1,6,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
5,3,1,1,1,1,1,3,1,1,19,39,0
1,3,1,1,1,1,1,1,1,1,19,39,0
2,3,1,1,1,1,1,3,1,1,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
2,3,1,1,1,1,1,3,2,2,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
5,3,1,1,1,1,1,7,1,1,19,39,0
1,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,1,3,1,1,19,39,0
5,3,1,1,1,1,1,2,1,1,19,39,0
1,3,1,1,1,1,1,1,1,1,19,39,0
2,2,1,1,1,1,1,4,1,1,19,39,0
3,2,1,1,1,1,2,2,1,1,19,39,0
5,2,1,1,1,2,2,7,1,1,19,39,0
1,2,4,5,1,1,1,1,1,1,19,39,0
2,2,1,1,1,1,2,2,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
5,2,1,1,1,2,1,5,1,1,19,39,0
1,3,1,1,1,1,2,1,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,1,3,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,2,2,1,1,19,39,0
5,3,1,1,1,1,2,4,1,1,19,39,0
1,3,1,1,1,1,1,3,1,1,19,39,0
2,2,1,1,1,1,2,5,1,1,19,39,0
3,2,1,1,1,1,2,3,1,1,19,39,0
4,3,1,1,1,1,1,3,1,1,19,39,0
5,2,1,1,1,1,1,1,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,4,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,4,1,1,19,39,0
5,2,1,1,1,1,1,3,1,1,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
2,3,1,1,1,1,1,3,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,2,2,1,1,19,39,0
2,3,1,1,1,1,1,3,1,1,19,39,0
3,3,1,1,1,1,1,3,1,1,19,39,0
4,3,1,1,1,1,1,3,1,1,19,39,0
5,3,1,1,1,1,1,2,1,1,19,39,0
2,3,1,1,1,1,1,5,1,1,19,39,0
3,3,1,1,1,1,1,4,1,1,19,39,0
4,3,1,1,1,1,1,5,1,1,19,39,0
1,2,1,1,1,1,2,7,1,1,19,39,0
2,3,1,1,1,1,1,6,2,2,19,39,0
3,2,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,5,1,1,19,39,0
2,3,1,1,1,1,1,3,1,1,19,39,0
4,2,1,1,1,1,1,5,1,1,19,39,0
5,2,1,1,1,1,2,5,1,1,19,39,0
1,2,1,1,1,1,1,8,1,1,19,39,0
2,3,1,1,1,1,1,6,1,1,19,39,0
3,2,1,1,1,1,1,1,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
1,3,1,1,1,1,1,3,1,1,19,39,0
2,3,1,1,1,1,1,3,1,1,19,39,0
4,3,1,1,1,1,2,1,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
5,3,1,1,1,1,1,3,1,1,19,39,0
1,3,1,1,1,1,1,5,1,1,19,39,0
2,2,1,1,1,1,1,5,1,1,19,39,0
3,3,1,1,1,1,1,5,1,1,19,39,0
5,3,1,1,1,1,1,3,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,1,2,1,1,19,39,0
1,2,1,1,1,2,1,2,1,1,19,39,0
2,2,1,1,1,1,1,6,1,1,19,39,0
3,2,1,1,1,1,2,6,1,1,19,39,0
5,2,2,1,1,1,1,4,1,1,19,39,0
1,2,1,1,1,1,1,4,1,1,19,39,0
2,2,1,1,1,1,1,3,1,1,19,39,0
3,3,1,1,1,1,1,5,1,1,19,39,0
4,2,1,1,1,1,1,6,2,2,19,39,0
2,3,1,2,1,1,2,2,1,1,19,39,0
3,3,1,2,1,1,1,6,2,2,19,39,0
4,2,2,2,1,1,1,5,1,1,19,39,0
5,3,2,2,1,1,1,6,1,1,19,39,0
1,2,1,1,1,1,1,4,1,1,19,39,0
2,2,1,1,1,1,1,5,1,1,19,39,0
3,2,1,1,1,1,1,3,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
1,2,1,1,1,1,1,5,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,2,3,1,1,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
1,2,1,1,1,1,1,9,2,3,19,39,0
2,3,1,1,1,1,2,1,1,1,19,39,0
3,3,1,1,1,1,1,7,1,1,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
5,2,1,1,1,1,1,6,1,1,19,39,0
2,2,1,1,1,1,1,8,2,2,19,39,0
4,2,1,1,1,1,1,5,1,1,19,39,0
5,3,1,1,1,1,1,10,1,1,19,39,0
1,2,1,1,1,1,2,3,1,1,19,39,0
2,3,1,1,1,1,1,2,1,1,19,39,0
3,2,1,1,1,1,1,8,2,2,19,39,0
4,2,1,1,1,1,1,2,1,1,19,39,0
5,2,1,1,1,1,1,11,2,2,19,39,0
1,3,1,1,1,1,1,3,1,1,19,39,0
2,3,1,1,1,1,1,7,1,1,19,39,0
3,3,1,1,1,1,1,4,1,1,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,1,1,1,19,39,0
2,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,3,1,1,19,39,0
5,3,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,2,1,1,1,1,1,2,1,1,19,39,0
1,3,1,1,1,1,1,5,1,1,19,39,0
2,2,1,1,1,1,1,6,2,2,19,39,0
3,3,1,1,1,1,1,9,2,3,19,39,0
4,3,1,1,1,1,1,5,1,1,19,39,0
5,3,1,1,1,1,1,2,1,1,19,39,0
1,2,1,1,1,1,1,5,1,1,19,39,0
2,3,1,1,1,1,1,3,1,1,19,39,0
2,2,1,1,1,1,1,4,1,1,19,39,0
3,2,1,1,1,1,1,5,1,1,19,39,0
4,3,1,1,1,1,1,5,1,1,19,39,0
5,2,1,1,1,1,1,5,1,1,19,39,0
2,2,1,2,1,1,1,2,1,1,19,39,0
3,2,1,1,1,1,1,5,1,1,19,39,0
4,2,1,1,1,1,2,3,1,1,19,39,0
5,2,1,1,1,1,1,6,1,1,19,39,0
1,2,2,1,1,2,2,4,1,1,19,39,0
2,2,1,1,1,1,1,4,1,1,19,39,0
3,2,1,1,1,1,1,4,1,1,19,39,0
4,2,2,1,1,1,1,4,1,1,19,39,0
1,2,1,1,1,1,2,2,1,1,19,39,0
2,2,2,1,1,2,2,2,1,1,19,39,0
3,2,1,1,1,1,1,1,1,1,19,39,0
4,3,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,1,1,1,19,39,0
2,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,5,1,1,19,39,0
4,3,1,1,1,1,1,5,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
3,2,1,1,1,1,1,12,2,3,19,39,0
4,2,1,1,1,1,1,3,1,1,19,39,0
5,3,1,1,1,1,1,1,1,1,19,39,0
1,3,1,1,1,1,1,8,1,1,19,39,0
2,2,1,1,1,1,2,1,1,1,19,39,0
3,2,1,1,1,1,1,4,1,1,19,39,0
4,2,1,1,1,1,1,7,2,2,19,39,0
5,3,1,1,1,1,1,3,1,1,19,39,0
1,2,1,1,1,1,1,3,1,1,19,39,0
2,2,1,1,1,1,1,1,1,1,19,39,0
3,2,1,1,1,1,1,5,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
1,2,5,1,1,1,2,3,1,1,19,39,0
2,2,1,1,1,1,2,3,1,1,19,39,0
3,2,2,1,1,1,1,5,1,1,19,39,0
4,3,1,5,1,1,1,4,1,1,19,39,0
5,2,5,2,1,1,1,4,1,1,19,39,0
1,2,1,1,1,1,1,4,1,1,19,39,0
2,2,1,1,1,2,2,3,1,1,19,39,0
3,2,1,1,1,1,1,6,1,1,19,39,0
4,2,1,1,1,1,2,4,1,1,19,39,0
1,2,1,1,1,1,1,4,1,1,19,39,0
2,2,1,1,1,2,1,2,1,1,19,39,0
3,2,1,1,1,1,1,5,1,1,19,39,0
4,2,1,1,1,1,1,6,1,1,19,39,0
5,3,1,1,1,1,2,1,1,1,19,39,0
1,3,1,1,1,1,1,5,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,1,4,2,2,19,39,0
1,3,1,1,1,1,1,9,1,1,19,39,0
2,2,1,1,1,1,1,8,1,1,19,39,0
3,2,1,1,1,1,1,3,1,1,19,39,0
4,3,1,1,1,1,2,1,1,1,19,39,0
5,2,1,1,1,1,1,11,1,1,19,39,0
1,3,1,1,1,1,1,6,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
1,3,1,1,1,1,1,1,1,1,19,39,0
2,3,1,1,1,1,1,8,2,2,19,39,0
3,3,1,1,1,1,2,1,1,1,19,39,0
5,3,1,1,1,1,1,2,1,1,19,39,0
1,2,1,1,1,1,2,1,1,1,19,39,0
2,3,1,1,1,1,2,7,1,1,19,39,0
3,3,1,1,1,1,1,1,1,1,19,39,0
4,3,1,1,1,1,1,2,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,4,1,1,19,39,0
4,2,1,1,1,1,1,5,1,1,19,39,0
1,2,1,1,1,1,1,4,1,1,19,39,0
2,2,1,1,1,1,2,3,1,1,19,39,0
3,2,1,1,1,1,1,6,1,1,19,39,0
4,2,1,1,1,1,1,4,1,1,19,39,0
5,2,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,3,1,1,19,39,0
3,3,1,1,1,1,1,5,1,1,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,1,3,2,2,19,39,0
1,3,1,1,1,1,1,6,1,1,19,39,0
3,2,1,1,1,1,1,4,1,1,19,39,0
4,2,1,1,1,1,1,7,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
1,2,1,1,1,1,1,8,1,1,19,39,0
2,2,1,1,1,1,1,4,1,1,19,39,0
5,2,1,1,1,1,1,3,1,1,19,39,0
1,3,1,1,1,1,1,7,2,2,19,39,0
2,2,1,1,1,1,1,4,1,1,19,39,0
3,2,1,1,1,1,1,5,1,1,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
1,3,1,1,1,1,1,3,1,1,19,39,0
2,2,1,1,1,1,1,5,1,1,19,39,0
3,2,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,5,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
1,2,1,1,1,1,1,5,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,2,1,1,1,1,1,5,1,1,19,39,0
5,2,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,2,3,1,1,19,39,0
4,3,1,1,1,1,2,4,1,1,19,39,0
5,3,1,1,1,1,1,1,1,1,19,39,0
1,3,1,1,1,1,1,7,1,1,19,39,0
2,2,1,1,1,1,1,3,1,1,19,39,0
3,3,1,1,1,1,2,3,1,1,19,39,0
1,3,1,1,1,1,1,3,1,1,19,39,0
3,2,2,1,1,1,2,1,1,1,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,1,3,1,1,19,39,0
1,3,1,1,1,1,2,5,1,1,19,39,0
2,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,2,2,1,1,19,39,0
4,3,1,1,1,1,1,1,1,1,19,39,0
5,3,1,1,1,1,1,1,1,1,19,39,0
1,2,1,1,1,1,1,4,2,2,19,39,0
2,2,4,1,1,2,2,3,1,1,19,39,0
3,2,1,1,1,1,1,3,1,1,19,39,0
4,3,1,1,1,1,1,7,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
3,2,1,1,1,1,1,4,1,1,19,39,0
4,2,1,1,1,1,1,2,1,1,19,39,0
5,2,1,1,1,1,1,1,1,1,19,39,0
1,2,1,1,1,1,1,4,1,1,19,39,0
2,2,1,1,1,1,2,2,1,1,19,39,0
3,3,1,1,1,1,1,3,2,2,19,39,0
4,3,1,1,1,1,1,3,2,3,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,1,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
5,3,1,1,1,1,1,3,1,1,19,39,0
1,3,1,1,1,1,1,10,1,1,19,39,0
3,2,1,1,1,1,1,7,1,1,19,39,0
4,3,1,1,1,1,1,3,1,1,19,39,0
5,2,1,1,1,1,1,6,1,1,19,39,0
1,2,1,1,1,1,1,1,1,1,19,39,0
2,3,1,1,1,1,2,2,1,1,19,39,0
4,2,2,1,1,1,2,2,1,1,19,39,0
5,2,1,1,1,1,1,4,1,1,19,39,0
1,3,1,1,1,1,1,5,1,1,19,39,0
18,3,1,1,1,1,1,3,1,1,19,9,1
20,3,1,1,1,1,1,1,1,1,19,9,2
1,2,1,1,1,1,1,6,1,1,19,9,1
2,2,1,1,1,1,1,4,1,1,19,9,1
3,2,1,1,1,1,2,2,1,1,19,9,1
6,2,1,1,1,1,1,6,1,1,19,9,1
7,3,1,1,1,1,1,4,1,1,19,9,1
8,2,1,1,1,2,2,1,1,1,19,9,1
9,2,1,1,1,1,1,1,1,1,19,9,1
10,2,1,1,1,1,1,3,1,1,19,9,1
11,2,1,1,1,1,1,5,1,1,19,9,1
12,2,1,1,1,1,1,3,1,1,19,9,1
13,2,1,1,1,1,2,1,1,1,19,9,1
16,2,1,1,1,1,1,2,1,1,19,9,1
17,2,1,1,1,2,2,2,1,1,19,9,1
18,2,1,1,1,1,1,4,1,1,19,9,1
19,2,1,1,1,1,1,4,1,1,19,9,2
1,2,1,1,1,1,1,2,1,1,19,18,0
2,2,1,1,1,1,1,3,1,1,19,18,0
3,2,1,1,1,1,2,3,1,1,19,18,0
4,3,1,1,1,1,1,5,1,1,19,18,0
6,2,1,1,1,1,1,1,1,1,19,18,0
7,2,1,1,1,1,1,4,1,1,19,18,0
8,2,1,1,1,1,1,6,1,1,19,18,0
9,3,1,1,1,1,1,4,1,1,19,18,0
10,2,1,1,1,1,1,2,1,1,19,18,0
11,2,1,1,1,1,1,5,1,1,19,18,0
12,2,1,1,1,1,1,3,1,1,19,18,0
13,2,1,1,1,2,2,1,1,1,19,18,0
14,2,1,1,1,1,1,5,1,1,19,18,0
15,2,1,1,1,1,2,3,1,1,19,18,0
17,3,1,1,1,1,1,5,1,1,19,18,0
1,3,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,1,4,1,1,19,39,0
4,2,1,1,1,1,1,5,1,1,19,39,0
5,3,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,8,1,1,19,39,0
2,2,1,1,1,1,1,5,1,1,19,39,0
3,3,1,1,1,1,1,5,1,1,19,39,0
4,2,1,1,1,1,1,4,1,1,19,39,0
5,2,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,2,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
5,3,1,1,1,1,1,4,1,1,19,39,0
1,3,1,1,1,1,1,5,1,1,19,39,0
2,3,1,1,1,1,1,1,1,1,19,39,0
3,3,1,1,1,1,1,4,1,1,19,39,0
4,3,1,1,1,1,1,5,1,1,19,39,0
1,3,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,2,1,1,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,1,7,1,1,19,39,0
1,3,1,1,1,1,1,4,1,1,19,39,0
2,3,1,1,1,1,1,4,1,1,19,39,0
3,3,1,1,1,1,1,5,2,2,19,39,0
4,3,1,1,1,1,1,4,1,1,19,39,0
5,3,1,1,1,1,1,3,1,1,19,39,0
1,3,1,1,1,1,1,2,1,1,19,46,3
4,3,1,1,1,1,1,5,1,1,19,46,3
5,3,1,1,1,1,1,4,1,1,19,46,3
1,3,1,1,1,1,1,3,1,1,19,46,3
2,3,1,1,1,1,1,1,1,1,19,46,3
3,2,1,1,1,1,1,4,1,1,19,46,3
4,3,1,1,1,1,1,5,1,1,19,46,3
1,3,1,1,1,1,1,3,1,1,19,46,3
2,2,1,1,1,1,1,3,1,1,19,46,3
3,3,1,1,1,1,1,4,1,1,19,46,3
4,3,1,1,1,1,1,4,1,1,19,46,3
1,2,1,1,1,1,1,2,1,1,19,46,3
2,3,1,1,1,1,1,2,1,1,19,46,3
3,2,1,1,1,1,1,2,1,1,19,46,3
5,3,1,1,1,1,1,4,1,1,19,46,3
1,3,1,1,1,1,1,2,1,1,19,46,3
2,3,1,1,1,1,1,4,1,1,19,46,3
4,3,1,1,1,1,1,5,1,1,19,46,3
2,3,1,1,1,1,1,6,1,1,19,46,3
4,3,1,1,1,1,1,4,1,1,19,46,3
5,3,1,1,1,1,1,4,1,1,19,46,3
1,3,1,1,1,1,2,3,1,1,19,46,3
2,3,1,1,1,1,1,3,1,1,19,46,3
4,3,1,1,1,1,1,2,1,1,19,46,3
5,3,1,1,1,1,1,4,1,1,19,46,3
1,3,1,1,1,1,1,2,1,1,19,46,3
2,3,1,1,1,1,1,6,1,1,19,46,3
3,3,1,1,1,1,1,4,1,1,19,46,3
4,2,1,1,1,1,1,4,1,1,19,46,3
5,3,1,1,1,1,1,4,1,1,19,46,3
2,3,1,1,1,1,1,3,1,1,19,46,3
3,3,1,1,1,1,1,4,1,1,19,46,3
4,3,1,1,1,1,1,4,1,1,19,46,3
1,3,1,1,1,1,1,5,1,1,19,46,3
2,3,1,1,1,1,1,3,1,1,19,46,3
3,3,1,1,1,1,1,2,1,1,19,46,3
18,2,1,1,1,2,2,1,1,1,19,18,0
19,2,1,1,1,1,1,2,1,1,19,18,0
20,2,1,1,1,1,2,7,1,1,19,18,2
1,2,1,1,1,1,1,4,1,1,19,18,0
2,2,1,1,1,1,1,5,1,1,19,18,0
3,2,1,1,1,1,1,4,1,1,19,18,0
4,2,1,1,1,1,2,2,1,1,19,18,0
5,2,1,1,1,1,1,6,1,1,19,18,0
6,2,1,1,1,1,1,4,1,1,19,18,0
7,2,2,1,2,2,2,3,1,1,19,18,0
8,2,1,1,1,1,1,4,1,1,19,18,0
10,2,1,1,1,1,2,4,1,1,19,18,0
12,3,1,1,1,2,1,1,1,1,19,18,0
14,2,1,1,1,1,1,2,1,1,19,18,0
15,2,1,1,1,1,1,3,1,1,19,18,0
16,2,1,1,1,1,1,5,1,1,19,18,0
17,2,1,1,1,1,1,4,1,1,19,18,0
18,2,1,1,1,1,1,3,1,1,19,18,0
19,2,1,1,1,1,1,4,1,1,19,18,2
20,3,1,1,1,1,1,4,1,1,19,18,2
1,3,1,1,1,1,2,2,1,1,19,18,0
2,3,1,1,1,1,1,4,1,1,19,18,0
3,3,1,1,1,1,1,4,1,1,19,18,0
4,3,1,1,1,1,1,3,1,1,19,18,0
5,3,1,1,1,1,2,4,1,1,19,18,0
6,3,1,1,1,1,1,5,1,1,19,18,0
8,3,1,1,1,1,1,8,1,1,19,18,0
9,3,1,1,1,1,1,5,1,1,19,18,0
10,2,1,1,1,1,1,2,1,1,19,18,0
11,3,1,1,1,1,1,4,1,1,19,18,0
13,3,1,1,1,1,1,5,1,1,19,18,0
14,2,1,1,1,1,1,3,1,1,19,18,0
15,2,1,1,1,1,1,5,1,1,19,18,0
16,2,1,1,1,1,1,4,1,1,19,18,0
18,3,1,1,1,1,1,2,1,1,19,18,0
20,3,1,1,1,1,1,4,1,1,19,18,2
1,3,1,1,1,1,1,6,1,1,19,18,0
2,3,1,1,1,1,1,3,1,1,19,18,0
3,3,1,1,1,1,1,5,1,1,19,18,0
4,3,1,1,1,1,2,4,1,1,19,18,0
5,2,1,1,1,1,1,4,1,1,19,46,3
1,3,1,1,1,1,1,2,1,1,19,46,3
2,3,1,1,1,1,1,3,1,1,19,46,3
3,2,1,1,1,1,1,5,1,1,19,46,3
4,3,1,1,1,1,1,2,1,1,19,46,3
5,3,1,1,1,1,1,2,1,1,19,46,3
1,3,1,1,1,1,1,2,1,1,19,46,3
2,3,1,1,1,1,1,1,1,1,19,46,3
3,3,1,1,1,1,1,1,1,1,19,46,3
4,2,2,1,1,2,2,2,1,1,19,46,3
5,3,1,1,1,1,2,1,1,1,19,46,3
1,3,1,1,1,1,1,1,1,1,19,46,3
2,3,1,1,1,1,2,1,1,1,19,46,3
3,3,1,1,1,1,2,1,1,1,19,46,3
4,3,1,1,1,1,1,4,1,1,19,46,3
5,3,1,1,1,1,2,1,1,1,19,46,3
2,3,1,1,1,1,1,3,1,1,19,46,3
4,3,1,1,1,1,1,3,1,1,19,46,3
1,3,1,1,1,1,1,2,1,1,19,46,3
2,3,1,1,1,1,2,1,1,1,19,46,3
4,3,1,1,1,1,1,5,1,1,19,46,3
5,3,1,1,1,1,1,5,1,1,19,46,3
3,3,1,1,1,1,1,5,1,1,19,46,3
4,3,1,1,1,1,1,4,1,1,19,46,3
1,3,1,1,1,1,1,5,1,1,19,46,3
3,3,1,1,1,1,1,8,1,1,19,46,3
4,2,1,1,1,1,1,3,1,1,19,46,3
5,3,1,1,1,1,1,3,1,1,19,46,3
1,3,1,1,1,1,1,3,1,1,19,46,3
4,3,1,1,1,1,1,2,1,1,19,46,3
5,3,1,1,1,1,1,3,1,1,19,46,3
1,3,1,1,1,1,1,1,1,1,19,46,3
2,3,1,1,1,1,1,2,1,1,19,46,3
5,3,1,1,1,1,2,2,1,1,19,46,3
1,3,1,1,1,1,1,2,1,1,19,46,3
2,3,1,1,1,1,1,4,1,1,19,46,3
3,3,1,1,1,1,1,4,1,1,19,46,3
4,3,1,1,1,1,1,6,1,1,19,46,3
1,3,1,1,1,1,1,2,1,1,19,46,3
3,3,1,1,1,1,1,4,1,1,19,46,3
4,3,1,1,1,1,1,3,1,1,19,46,3
